Gateway 0 Arrival Rate	Pure Cloud Total System Response Time	Next Hop Total System Response Time	Probabilistic DF Total System Response Time
4700.0	235.45164454895976	174.3171351606531	29.911269605612112
4750.0	235.45128236417054	174.6901122604376	30.08976870164931
4800.0	235.45093262146165	175.05100464183215	30.27449894949956
4850.0	235.4505764000416	175.41070246396916	30.455486014463332
4900.0	235.45022745558805	175.77004645262141	30.63778531720693
4950.0	235.4498725190725	176.11972633125205	30.822383200760374
5000.0	235.44951443192048	176.45973493089647	31.012322088102025
1800.0	235.490557263362	139.0662916361091	19.29913516970712
1850.0	235.4890130711659	139.1689972320368	19.26677107344262
1900.0	235.4880571251369	139.62284389913725	19.51468469019582
1950.0	235.48811363506996	139.5400297656053	19.82692431278189
2000.0	235.48717228286114	140.00350705916117	20.138317679164977
2050.0	235.4860051752449	140.85417630412906	20.56291475757133
2100.0	235.4854256344424	141.75371953364544	20.619442336147912
