Gateway 0 Arrival Rate	Pure Cloud Offloaded to of 0	Next Hop Offloaded to of 0	Probabilistic DF Offloaded to of 0	Pure Cloud Offloaded to of 1	Next Hop Offloaded to of 1	Probabilistic DF Offloaded to of 1	Pure Cloud Offloaded to of 2	Next Hop Offloaded to of 2	Probabilistic DF Offloaded to of 2	Pure Cloud Offloaded to of Cloud	Next Hop Offloaded to of Cloud	Probabilistic DF Offloaded to of Cloud
2500.0	0.0	0.0	0.0	0.0	0.0	0.28063956908743676	0.0	0.0	0.5749592325126072	1.0	1.0	0.1444011983999561
2550.0	0.0	0.0	0.0	0.0	0.0	0.27829684911166874	0.0	0.0	0.5768566991262143	1.0	1.0	0.144846451762117
2600.0	0.0	0.0	0.0	0.0	0.0	0.27558997431490734	0.0	0.0	0.5791775239029		1.0	1.0	0.14523250178219282
2650.0	0.0	0.0	0.0	0.0	0.0	0.2731377748551365	0.0	0.0	0.5809930543472107	1.0	1.0	0.1458691707976527
2700.0	0.0	0.0	0.0	0.0	0.0	0.2707918388850442	0.0	0.0	0.5827611732707108	1.0	1.0	0.14644698784424484
2750.0	0.0	0.0	0.0	0.0	0.0	0.26846817384609345	0.0	0.0	0.5845642168351255	1.0	1.0	0.14696760931878117
2800.0	0.0	0.0	0.0	0.0	0.0	0.26601883956635836	0.0	0.0	0.5866273713204982	1.0	1.0	0.14735378911314342
2850.0	0.0	0.0	0.0	0.0	0.0	0.2636631173771686	0.0	0.0	0.5885222329906084	1.0	1.0	0.14781464963222313
2900.0	0.0	0.0	0.0	0.0	0.0	0.2612908819632236	0.0	0.0	0.590509000419482	1.0	1.0	0.14820011761729454
2950.0	0.0	0.0	0.0	0.0	0.0	0.25911205276108223	0.0	0.0	0.5923387191742568	1.0	1.0	0.1485492280646609
3000.0	0.0	0.0	0.0	0.0	0.0	0.25709602630530476	0.0	0.0	0.5938898906330108	1.0	1.0	0.1490140830616843
3050.0	0.0	0.0	0.0	0.0	0.0	0.254877972747278	0.0	0.0	0.5955587054869093	1.0	1.0	0.14956332176581277
3100.0	0.0	0.0	0.0	0.0	0.0	0.25273696033420257	0.0	0.0	0.5973082580006609	1.0	1.0	0.14995478166513657
3150.0	0.0	0.0	0.0	0.0	0.0	0.25071161483200244	0.0	0.0	0.5989974717346161	1.0	1.0	0.15029091343338158
3200.0	0.0	0.0	0.0	0.0	0.0	0.24869751571947524	0.0	0.0	0.600571601193425	1.0	1.0	0.15073088308709964
3250.0	0.0	0.0	0.0	0.0	0.0	0.24663468309058284	0.0	0.0	0.6021259076144612	1.0	1.0	0.15123940929495602
3300.0	0.0	0.0	0.0	0.0	0.0	0.2447411897246358	0.0	0.0	0.6035952775426537	1.0	1.0	0.15166353273271055
3350.0	0.0	0.0	0.0	0.0	0.0	0.242870351070207	0.0	0.0	0.6051366349902907	1.0	1.0	0.15199301393950226
3400.0	0.0	0.0	0.0	0.0	0.0	0.24091583978657632	0.0	0.0	0.6066621187106273	1.0	1.0	0.15242204150279634
3450.0	0.0	0.0	0.0	0.0	0.0	0.23899676091362285	0.0	0.0	0.6081467056019456	1.0	1.0	0.1528565334844315
3500.0	0.0	0.0	0.0	0.0	0.0	0.23712940019634848	0.0	0.0	0.6095790558263902	1.0	1.0	0.15329154397726133
3550.0	0.0	0.0	0.0	0.0	0.0	0.23529212365134225	0.0	0.0	0.6110081273644627	1.0	1.0	0.153699748984195
3600.0	0.0	0.0	0.0	0.0	0.0	0.2335301091862803	0.0	0.0	0.612442921938398	1.0	1.0	0.15402696887532172
3650.0	0.0	0.0	0.0	0.0	0.0	0.23172134006010836	0.0	0.0	0.6138708540518741	1.0	1.0	0.15440780588801745
3700.0	0.0	0.0	0.0	0.0	0.0	0.22995650532825498	0.0	0.0	0.6152970924843693	1.0	1.0	0.15474640218737581
3750.0	0.0	0.0	0.0	0.0	0.0	0.22827782443995842	0.0	0.0	0.6166006980558796	1.0	1.0	0.15512147750416194
3800.0	0.0	0.0	0.0	0.0	0.0	0.2265874442325641	0.0	0.0	0.6178877813172591	1.0	1.0	0.15552477445017682
3850.0	0.0	0.0	0.0	0.0	0.0	0.22491323900730947	0.0	0.0	0.6191888628745057	1.0	1.0	0.15589789811818483
3900.0	0.0	0.0	0.0	0.0	0.0	0.2232452264435502	0.0	0.0	0.6204405411602663	1.0	1.0	0.15631423239618353
3950.0	0.0	0.0	0.0	0.0	0.0	0.22168244585983737	0.0	0.0	0.6216572645901096	1.0	1.0	0.156660289550053
4000.0	0.0	0.0	0.0	0.0	0.0	0.22011257246649674	0.0	0.0	0.6228854706939713	1.0	1.0	0.15700195683953186
