Gateway 0 Arrival Rate	Pure Cloud Buffer Occupancy Efficiency of 0	Next Hop Buffer Occupancy Efficiency of 0	Probabilistic DF Buffer Occupancy Efficiency of 0	Pure Cloud Buffer Occupancy Efficiency of 1	Next Hop Buffer Occupancy Efficiency of 1	Probabilistic DF Buffer Occupancy Efficiency of 1	Pure Cloud Buffer Occupancy Efficiency of 2	Next Hop Buffer Occupancy Efficiency of 2	Probabilistic DF Buffer Occupancy Efficiency of 2	Pure Cloud Buffer Occupancy Efficiency of Cloud	Next Hop Buffer Occupancy Efficiency of Cloud	Probabilistic DF Buffer Occupancy Efficiency of Cloud
2700.0	0.0	0.990443125	0.99068375	0.0	0.0645191	0.9942738999999999	0.0	0.025381900000000002	0.22515054999999995	0.016283739999999998	0.011214895	0.0012646250000000001
2750.0	0.0	0.9903074500000001	0.99089875	0.0	0.06762125	0.994763725	0.0	0.025040712499999996	0.2514941	0.01649072	0.0114279875	0.0013120100000000002
2800.0	0.0	0.9906522750000001	0.990713975	0.0	0.06507152499999999	0.9954769249999998	0.0	0.024830037499999996	0.26798625	0.0168303375	0.01175392	0.0013143075
2850.0	0.0	0.9911909000000001	0.99141855	0.0	0.06646755	0.9953779500000002	0.0	0.025151737500000004	0.3131408625	0.016979677500000002	0.0118887275	0.0013539425
2900.0	0.0	0.991283975	0.990971225	0.0	0.06545142500000001	0.9952542	0.0	0.025236675000000004	0.3487007875	0.0173012125	0.012274985	0.001356795
2950.0	0.0	0.9911566	0.991400975	0.0	0.06691032499999999	0.995029325	0.0	0.0250073125	0.3667795625	0.017410752499999998	0.012435309999999998	0.0013737475
3000.0	0.0	0.991619425	0.9916485250000001	0.0	0.069451525	0.9955784	0.0	0.0253557125	0.3753649	0.017725527499999998	0.012591395	0.0014620675
3050.0	0.0	0.99162325	0.9916044999999999	0.0	0.063590775	0.995464725	0.0	0.02478725	0.4484069625	0.017963564999999997	0.012833222500000002	0.0014605274999999998
3100.0	0.0	0.9919470249999998	0.992016625	0.0	0.06622682499999999	0.995899075	0.0	0.025128700000000004	0.5044554499999999	0.01808431	0.013114905	0.0014637500000000002
3150.0	0.0	0.9921272	0.992115575	0.0	0.0683634	0.9960958249999999	0.0	0.025024487500000005	0.5514884499999999	0.018381057500000002	0.013436275000000001	0.0014870800000000002
3200.0	0.0	0.9921907750000001	0.9922544250000002	0.0	0.06964907500000002	0.9965459750000001	0.0	0.0259099125	0.601066125	0.01876677	0.013652932500000001	0.00155914
3250.0	0.0	0.99249785	0.992149175	0.0	0.06803717499999999	0.99616115	0.0	0.025109512499999997	0.6554784	0.0188820575	0.0138033675	0.0016099950000000001
3300.0	0.0	0.9924815499999999	0.9923707499999999	0.0	0.064963425	0.9959501749999999	0.0	0.02488665	0.6565600125000001	0.019227297499999997	0.014018307500000002	0.0015872075000000004
3350.0	0.0	0.9927151249999999	0.9926293749999999	0.0	0.06483625000000001	0.9954628999999999	0.0	0.025311374999999997	0.7492701249999999	0.019373105	0.014409902499999998	0.0016019349999999999
3400.0	0.0	0.9927280749999999	0.99288455	0.0	0.062446049999999996	0.996819075	0.0	0.0251147625	0.7746543375	0.019633240000000003	0.014646287499999999	0.0016638425000000002
3450.0	0.0	0.9927833999999999	0.992818675	0.0	0.06641702499999999	0.9964120249999999	0.0	0.025620650000000002	0.77976785	0.0198844175	0.014715127500000003	0.0017055725
3500.0	0.0	0.9929967749999999	0.99281185	0.0	0.066886625	0.9961113749999999	0.0	0.025132875	0.8048537	0.020130494999999998	0.0151422275	0.00168841
3550.0	0.0	0.9932634250000001	0.992996375	0.0	0.06365314999999999	0.996668	0.0	0.024896924999999997	0.8461563249999999	0.020253559999999997	0.015267287499999999	0.0017113025
3600.0	0.0	0.9932192000000001	0.9930691749999999	0.0	0.067464525	0.996632275	0.0	0.025046812499999994	0.847965475	0.020505009999999997	0.01551739	0.0017380275
3650.0	0.0	0.9932196000000001	0.99326805	0.0	0.06863215000000002	0.9962624499999999	0.0	0.024966637500000003	0.88895985	0.02093797	0.015612569999999997	0.001785055
3700.0	0.0	0.9934558499999999	0.9933084500000001	0.0	0.067792875	0.9966932750000002	0.0	0.025502075000000003	0.8944145500000001	0.02115732	0.016005187499999997	0.001822435
3750.0	0.0	0.99372145	0.9935009749999999	0.0	0.06442155	0.99638405	0.0	0.025357925000000003	0.9140062624999998	0.0211799675	0.0161524875	0.0018684550000000002
3800.0	0.0	0.9935240500000001	0.9935183000000002	0.0	0.06360805	0.9966325249999999	0.0	0.025370725	0.9256799749999999	0.021378585	0.0164907625	0.0018705524999999997
3850.0	0.0	0.9937742	0.9936241499999999	0.0	0.07030872499999999	0.9968870249999998	0.0	0.025281975	0.9403954374999998	0.021714854999999998	0.0167914475	0.001884575
3900.0	0.0	0.9937939	0.9939492999999999	0.0	0.06552547500000001	0.9968603999999999	0.0	0.024911225000000002	0.9524138500000001	0.021981602500000003	0.01686867	0.0019671825
3950.0	0.0	0.9938149000000001	0.9939813	0.0	0.069822525	0.9965885999999999	0.0	0.0250991625	0.9634223250000001	0.02217712	0.0171128125	0.0019239800000000005
4000.0	0.0	0.993850125	0.993867925	0.0	0.06977735	0.99702415	0.0	0.02495265	0.969652325	0.022343812499999997	0.017396735	0.001940335
4050.0	0.0	0.993933825	0.9941194249999998	0.0	0.06852197499999998	0.9969800249999998	0.0	0.025301924999999996	0.9764575500000001	0.0228011125	0.0174826125	0.00199904
4100.0	0.0	0.9941412249999999	0.9942283250000001	0.0	0.06599352500000001	0.9971138750000001	0.0	0.025430875000000002	0.98156505	0.022868772500000002	0.017738112499999997	0.001995605
4150.0	0.0	0.9943087500000001	0.994069425	0.0	0.071654925	0.9969554	0.0	0.024979275000000002	0.9820330875	0.023246765	0.01809255	0.0020719824999999997
4200.0	0.0	0.9943881249999998	0.9942410249999998	0.0	0.06928265	0.9970503	0.0	0.025092162500000004	0.9836847125	0.023432292500000004	0.0183432425	0.0020455925
4250.0	0.0	0.9941345	0.9943463000000001	0.0	0.06604615	0.9971029	0.0	0.025451974999999998	0.9863061	0.023487202500000002	0.018518562499999995	0.0021001775000000006
4300.0	0.0	0.9944156249999999	0.994440475	0.0	0.0661583	0.9971781	0.0	0.0256121875	0.99039515	0.0237305875	0.0187895225	0.0021124175
4350.0	0.0	0.9944779499999999	0.9945946250000001	0.0	0.06671782499999998	0.9969976	0.0	0.025074450000000005	0.9890950000000001	0.023950372500000004	0.018943225	0.0021763325
4400.0	0.0	0.994524425	0.994434175	0.0	0.065713675	0.9970186	0.0	0.025303862499999996	0.9914141500000001	0.024312680000000003	0.019182115	0.0021938725
4450.0	0.0	0.9947423000000001	0.9945561499999999	0.0	0.06813784999999999	0.9974930500000001	0.0	0.025148625	0.9916792624999999	0.0244423125	0.0194375125	0.0021681825
