Gateway 0 Arrival Rate	Pure Cloud Average Effective Arrival rate of 0	Next Hop Average Effective Arrival rate of 0	Probabilistic DF Average Effective Arrival rate of 0	Pure Cloud Average Effective Arrival rate of 1	Next Hop Average Effective Arrival rate of 1	Probabilistic DF Average Effective Arrival rate of 1	Pure Cloud Average Effective Arrival rate of 2	Next Hop Average Effective Arrival rate of 2	Probabilistic DF Average Effective Arrival rate of 2	Pure Cloud Average Effective Arrival rate of Cloud	Next Hop Average Effective Arrival rate of Cloud	Probabilistic DF Average Effective Arrival rate of Cloud
4250.0	0.0	409.1	404.525	0.0	202.25	398.95	0.0	405.35	1605.975	4658.6	3668.6	414.175
4300.0	0.0	407.05	405.125	0.0	200.575	402.6	0.0	403.225	1597.6	4705.8	3728.4	423.875
4350.0	0.0	407.525	401.625	0.0	204.35	399.65	0.0	394.05	1589.4	4766.6	3761.175	430.025
4400.0	0.0	402.35	407.575	0.0	199.825	404.45	0.0	396.95	1602.125	4812.4	3808.05	430.65
4450.0	0.0	399.575	407.25	0.0	202.225	398.725	0.0	398.725	1604.275	4840.05	3850.925	431.8
4500.0	0.0	408.525	405.0	0.0	199.575	400.425	0.0	402.825	1607.775	4885.625	3907.025	449.825
4550.0	0.0	407.775	404.875	0.0	198.025	401.05	0.0	401.775	1584.55	4958.7	3924.9	445.6
4600.0	0.0	406.525	399.25	0.0	198.95	404.5	0.0	404.5	1599.65	4984.15	3989.7	448.825
4650.0	0.0	405.05	405.3	0.0	199.075	405.825	0.0	392.2	1598.55	5039.55	4028.375	458.725
4700.0	0.0	402.875	406.225	0.0	202.0	405.775	0.0	392.05	1610.5	5088.75	4082.975	458.725
4750.0	0.0	404.05	407.875	0.0	201.875	400.45	0.0	398.8	1613.525	5129.075	4131.025	469.7
4800.0	0.0	402.1	402.375	0.0	205.3	411.55	0.0	391.125	1598.375	5174.15	4168.625	469.75
4850.0	0.0	401.225	406.15	0.0	200.125	404.075	0.0	396.825	1606.025	5224.475	4221.125	477.95
4900.0	0.0	406.375	402.575	0.0	201.075	408.0	0.0	394.6	1595.3	5258.375	4275.275	479.45
4950.0	0.0	406.275	407.225	0.0	199.425	407.175	0.0	397.375	1612.975	5309.775	4301.425	491.85
5000.0	0.0	406.9	400.325	0.0	202.925	406.1	0.0	397.275	1589.15	5358.45	4339.65	499.175
1800.0	0.0	394.0	420.25	0.0	189.5	399.25	0.0	396.0	1020.0	2367.25	1401.75	155.0
1850.0	0.0	400.25	425.0	0.0	201.25	421.75	0.0	406.25	1034.25	2420.5	1435.75	159.5
1900.0	0.0	401.5	390.5	0.0	200.0	415.5	0.0	411.0	1063.5	2493.5	1469.5	166.5
1950.0	0.0	416.25	400.0	0.0	200.0	421.5	0.0	397.0	1063.5	2506.75	1459.5	170.25
2000.0	0.0	405.25	395.75	0.0	205.75	405.5	0.0	410.5	1088.75	2541.25	1532.5	185.0
2050.0	0.0	403.75	415.25	0.0	190.75	384.25	0.0	401.5	1133.0	2677.0	1614.25	193.75
2100.0	0.0	412.5	423.5	0.0	194.0	412.25	0.0	393.25	1144.5	2625.75	1610.75	181.0
Gateway 0 Arrival Rate	Pure Cloud Average Effective Arrival rate of 0	Next Hop Average Effective Arrival rate of 0	Probabilistic DF Average Effective Arrival rate of 0	Pure Cloud Average Effective Arrival rate of 1	Next Hop Average Effective Arrival rate of 1	Probabilistic DF Average Effective Arrival rate of 1	Pure Cloud Average Effective Arrival rate of 2	Next Hop Average Effective Arrival rate of 2	Probabilistic DF Average Effective Arrival rate of 2	Pure Cloud Average Effective Arrival rate of Cloud	Next Hop Average Effective Arrival rate of Cloud	Probabilistic DF Average Effective Arrival rate of Cloud
0.0	0.0	0.5	0.5	0.0	202.83333333333334	194.5	0.0	402.6666666666667	391.5	576.0	0.5	0.5
50.0	0.0	46.166666666666664	51.0	0.0	195.5	196.5	0.0	400.6666666666667	413.6666666666667	645.3333333333334	0.5	0.5
100.0	0.0	105.0	100.33333333333333	0.0	199.33333333333334	194.16666666666666	0.0	400.3333333333333	388.3333333333333	703.0	0.5	0.5
150.0	0.0	146.16666666666666	144.16666666666666	0.0	205.0	190.83333333333334	0.0	400.3333333333333	390.6666666666667	775.3333333333334	0.5	0.5
200.0	0.0	198.5	202.66666666666666	0.0	203.16666666666666	185.16666666666666	0.0	393.8333333333333	395.5	812.6666666666666	0.5	0.5
250.0	0.0	252.5	256.1666666666667	0.0	211.0	194.0	0.0	397.1666666666667	410.0	837.0	0.5	0.5
300.0	0.0	277.1666666666667	300.5	0.0	197.83333333333334	198.5	0.0	395.1666666666667	393.0	922.1666666666666	0.5	0.5
350.0	0.0	351.6666666666667	343.1666666666667	0.0	197.66666666666666	185.0	0.0	403.8333333333333	424.5	970.3333333333334	3.3333333333333335	0.6666666666666666
400.0	0.0	381.3333333333333	384.6666666666667	0.0	204.83333333333334	203.0	0.0	378.1666666666667	407.8333333333333	994.3333333333334	19.5	1.5
450.0	0.0	389.0	388.5	0.0	202.16666666666666	240.83333333333334	0.0	397.5	446.5	1042.0	57.0	9.833333333333334
500.0	0.0	413.1666666666667	406.6666666666667	0.0	204.83333333333334	233.0	0.0	394.1666666666667	448.3333333333333	1102.3333333333333	78.5	11.666666666666666
550.0	0.0	401.8333333333333	412.1666666666667	0.0	200.16666666666666	255.33333333333334	0.0	402.8333333333333	471.6666666666667	1141.3333333333333	141.16666666666666	18.333333333333332
600.0	0.0	398.6666666666667	419.1666666666667	0.0	205.66666666666666	277.0	0.0	395.8333333333333	485.5	1211.8333333333333	204.33333333333334	19.5
650.0	0.0	404.1666666666667	422.3333333333333	0.0	195.66666666666666	283.1666666666667	0.0	398.3333333333333	483.5	1241.0	248.83333333333334	24.666666666666668
700.0	0.0	403.3333333333333	397.0	0.0	195.16666666666666	324.6666666666667	0.0	399.5	535.3333333333334	1298.0	286.0	36.333333333333336
750.0	0.0	410.3333333333333	413.8333333333333	0.0	196.33333333333334	335.8333333333333	0.0	386.3333333333333	546.5	1348.3333333333333	325.0	37.5
