Gateway 0 Arrival Rate	Analytical Avg Gateway Buffer Occupancy Efficiency of 0	Simulation Avg Gateway Buffer Occupancy Efficiency of 0	Analytical Avg Gateway Buffer Occupancy Efficiency of 1	Simulation Avg Gateway Buffer Occupancy Efficiency of 1	Analytical Avg Gateway Buffer Occupancy Efficiency of 2	Simulation Avg Gateway Buffer Occupancy Efficiency of 2	Analytical Avg Gateway Buffer Occupancy Efficiency of Cloud	Simulation Avg Gateway Buffer Occupancy Efficiency of Cloud
1700.0	0.9846153846155534	0.98333165	0.9456184640625974	0.9894353499999999	0.07384281692654389	0.0751078	7.372109848371894E-4	7.26615E-4
1750.0	0.9851851851852793	0.9831217500000001	0.9486659136342371	0.9912699500000001	0.0768073131565948	0.07533102500000001	7.655652534847171E-4	7.3726E-4
1800.0	0.9857142857143391	0.9845730500000001	0.9513901241274215	0.9913724	0.07995684398899168	0.083051725	7.93919522132267E-4	8.054399999999999E-4
1850.0	0.9862068965517548	0.98442785	0.9538398694796463	0.9908119	0.08331558410842625	0.08082195	8.222737907798297E-4	8.171649999999999E-4
1900.0	0.9866666666666845	0.9854692500000001	0.9560546038404917	0.9906157999999999	0.08691179806099053	0.08771962500000001	8.506280594273991E-4	8.3456E-4
1950.0	0.987096774193559	0.9856252999999999	0.9580665776434932	0.9916292500000001	0.09077874188212687	0.09106315000000001	8.789823280749727E-4	8.732050000000002E-4
2000.0	0.9875000000000063	0.9860714500000001	0.9599024053796381	0.9904282500000001	0.09495580458667652	0.0948917	9.073365967225486E-4	8.95425E-4
2050.0	0.9878787878787916	0.9867234249999999	0.9615842427165078	0.9936184750000001	0.09948995965408301	0.0997368	9.356908653701257E-4	9.336924999999999E-4
2100.0	0.9882352941176494	0.9872954500000001	0.96313068134524	0.9928908	0.1044376154589727	0.10462402499999998	9.64045134017704E-4	9.72065E-4
2150.0	0.98857142857143	0.987739275	0.9645574371406289	0.9923092249999999	0.10986697425529426	0.10650863750000002	9.92399402665283E-4	9.612300000000001E-4
2200.0	0.98888888888889	0.987495025	0.9658778850768611	0.9931648500000001	0.1158610284385017	0.11189281250000001	0.001020753671312862	0.00102701
2250.0	0.9891891891891899	0.9877171499999999	0.9671034791841178	0.9928354	0.12252133293123865	0.12409367499999999	0.0010491079399604407	0.0010363675
2300.0	0.9894736842105267	0.9880292000000003	0.968244085315985	0.993968525	0.12997267916593455	0.1319856	0.0010774622086080201	0.0010592975
2350.0	0.9897435897435901	0.9888713499999998	0.9693082471082943	0.9946517499999998	0.13836873344500303	0.13598392499999998	0.0011058164772555995	0.0010790099999999998
2400.0	0.9900000000000002	0.9890717	0.9703034002532048	0.9944621250000001	0.14789854797352414	0.1365215	0.0011341707459031787	0.00108387
2450.0	0.9902439024390244	0.9895176999999998	0.9712360464287755	0.99442505	0.1587935428323743	0.15547332500000002	0.0011625250145507581	0.0011155149999999999
2500.0	0.9904761904761905	0.9894473499999998	0.9721118954707879	0.9944544499999999	0.1713340075421919	0.1603462375	0.0011908792831983378	0.0011873425000000003
2550.0	0.990697674418605	0.9897935	0.9729359823486711	0.9950924749999999	0.18585329475871518	0.16622132500000003	0.0012192335518459178	0.0011744575
2600.0	0.990909090909091	0.9901442750000001	0.9737127640035261	0.9951910999999999	0.20273663959779914	0.18417849999999997	0.001247587820493497	0.001202905
2650.0	0.9911111111111109	0.9902520499999999	0.9744461999788696	0.99510475	0.22241006480426564	0.20772655	0.001275942089141076	0.0012596025
2700.0	0.9913043478260871	0.99068375	0.9751398199221196	0.9942738999999999	0.24531360661836535	0.22515054999999995	0.001304296357788656	0.0012646250000000001
2750.0	0.9914893617021276	0.99089875	0.9757967803846654	0.994763725	0.2718531613688478	0.2514941	0.0013326506264362357	0.0013120100000000002
2800.0	0.9916666666666669	0.990713975	0.976419912848628	0.9954769249999998	0.30232822360850176	0.26798625	0.0013610048950838149	0.0013143075
2850.0	0.9918367346938778	0.99141855	0.9770117645214382	0.9953779500000002	0.3368402481536293	0.3131408625	0.0013893591637313943	0.0013539425
2900.0	0.9920000000000002	0.990971225	0.9775746331376174	0.9952542	0.3751982715042699	0.3487007875	0.0014177134323789728	0.001356795
2950.0	0.9921568627450981	0.991400975	0.9781105967702178	0.995029325	0.41685091149197506	0.3667795625	0.0014460677010265527	0.0013737475
3000.0	0.9923076923076926	0.9916485250000001	0.9786215394672512	0.9955784	0.46087865525849503	0.3753649	0.001474421969674133	0.0014620675
3050.0	0.9924528301886794	0.9916044999999999	0.9791091733796682	0.995464725	0.506068785334081	0.4484069625	0.0015027762383217121	0.0014605274999999998
3100.0	0.9925925925925927	0.992016625	0.9795750579285457	0.995899075	0.5510667457383519	0.5044554499999999	0.0015311305069692915	0.0014637500000000002
3150.0	0.9927272727272725	0.992115575	0.9800206164635898	0.9960958249999999	0.5945650990283669	0.5514884499999999	0.0015594847756168703	0.0014870800000000002
3200.0	0.9928571428571429	0.9922544250000002	0.9804471507878306	0.9965459750000001	0.6354744136655144	0.601066125	0.0015878390442644501	0.00155914
3250.0	0.9929824561403511	0.992149175	0.9808558538607246	0.99616115	0.6730304689890917	0.6554784	0.0016161933129120295	0.0016099950000000001
3300.0	0.9931034482758619	0.9923707499999999	0.9812478209407253	0.9959501749999999	0.70682149877963	0.6565600125000001	0.001644547581559609	0.0015872075000000004
3350.0	0.9932203389830508	0.9926293749999999	0.9816240593864958	0.9954628999999999	0.7367489537675688	0.7492701249999999	0.0016729018502071886	0.0016019349999999999
3400.0	0.9933333333333334	0.99288455	0.9819854973014387	0.996819075	0.7629509670581931	0.7746543375	0.0017012561188547684	0.0016638425000000002
3450.0	0.9934426229508198	0.992818675	0.9823329911777282	0.9964120249999999	0.7857173567547134	0.77976785	0.001729610387502348	0.0017055725
3500.0	0.9935483870967742	0.99281185	0.9826673326723846	0.9961113749999999	0.8054154143447662	0.8048537	0.0017579646561499268	0.00168841
