Gateway 0 Arrival Rate	Analytical Buffer Occupancy of 0	Simulation Buffer Occupancy of 0	Analytical Buffer Occupancy of 1	Simulation Buffer Occupancy of 1	Analytical Buffer Occupancy of 2	Simulation Buffer Occupancy of 2	Analytical Buffer Occupancy of Cloud	Simulation Buffer Occupancy of Cloud
1600.0	19.66666666667815	19.628930000000004	18.765872825925413	19.783796	2.7355410380118452	2.761807	0.13610048950845885	0.133454
1650.0	19.680000000006167	19.634629	18.843735692894178	19.795181	2.841702174414002	2.848192	0.14177134323794066	0.143448
1700.0	19.69230769231107	19.666632999999997	18.912369281251948	19.788707	2.9537126770617554	3.0043119999999996	0.14744219696743788	0.145323
1750.0	19.703703703705585	19.662435	18.973318272684743	19.825399	3.0722925262637917	3.013241	0.15311305069694342	0.147452
1800.0	19.71428571428678	19.691460999999997	19.02780248254843	19.827447999999997	3.198273759559667	3.322069	0.1587839044264534	0.16108799999999998
1850.0	19.724137931035095	19.688557	19.076797389592926	19.816238	3.33262336433705	3.2328780000000004	0.16445475815596594	0.163433
1900.0	19.73333333333369	19.709384999999997	19.121092076809834	19.812316	3.476471922439621	3.5087849999999996	0.1701256118854798	0.166912
1950.0	19.74193548387118	19.712506	19.161331552869864	19.832585	3.6311496752850747	3.6425259999999993	0.17579646561499454	0.174641
2000.0	19.750000000000124	19.721429	19.19804810759276	19.808564999999998	3.7982321834670607	3.795668	0.18146731934450971	0.1790852050.0	19.757575757575832	19.7344685	19.231684854330155	19.872369499999998	3.9795983861633206	3.9894719999999992	0.18713817307402514	0.18673849999999997
2100.0	19.764705882352988	19.745909	19.262613626904802	19.857816000000003	4.177504618358908	4.1849609999999995	0.1928090268035408	0.194413
2150.0	19.7714285714286	19.754785500000004	19.291148742812577	19.8461845	4.39467897021177	4.260345500000001	0.1984798805330566	0.192246
2200.0	19.7777777777778	19.749900500000003	19.317557701537222	19.863297	4.634441137540068	4.475712499999999	0.20415073426257238	0.205402
2250.0	19.783783783783797	19.754343	19.342069583682356	19.856708	4.900853317249546	4.963747	0.20982158799208817	0.20727350000000003
2300.0	19.789473684210535	19.760584	19.3648817063197	19.8793705	5.198907166637382	5.279424000000001	0.21549244172160403	0.21185949999999995
2350.0	19.794871794871803	19.777427000000003	19.386164942165887	19.893034999999998	5.534749337800121	5.439356999999999	0.22116329545111993	0.215802
2400.0	19.800000000000004	19.781433999999997	19.406068005064096	19.889242499999998	5.915941918940965	5.460859999999999	0.22683414918063574	0.21677400000000002
2450.0	19.804878048780488	19.790354	19.42472092857551	19.888500999999998	6.351741713294971	6.218933	0.2325050029101516	0.223103
2500.0	19.80952380952381	19.788947000000004	19.44223790941576	19.889089000000002	6.853360301687677	6.4138494999999995	0.23817585663966756	0.2374685
2550.0	19.8139534883721	19.79587	19.45871964697342	19.9018495	7.434131790348607	6.648853	0.24384671036918357	0.23489149999999998
2600.0	19.81818181818182	19.8028855	19.474255280070523	19.903822	8.109465583911966	7.367140000000001	0.2495175640986994	0.240581
2650.0	19.82222222222222	19.805041	19.48892399957739	19.902095000000003	8.896402592170626	8.309062	0.2551884178282152	0.2519205
2700.0	19.826086956521742	19.813675	19.502796398442392	19.885478	9.812544264734614	9.006022	0.2608592715577312	0.25292499999999996
2750.0	19.829787234042552	19.817975	19.515935607693308	19.8952745	10.874126454753911	10.059763999999998	0.2665301252872471	0.26240199999999997
2800.0	19.83333333333334	19.814279499999998	19.528398256972558	19.9095385	12.093128944340071	10.719449999999998	0.272200979016763	0.26286149999999997
2850.0	19.836734693877556	19.828371	19.540235290428765	19.907559000000003	13.473609926145171	12.525634499999999	0.27787183274627886	0.2707885
2900.0	19.840000000000003	19.8194245	19.55149266275235	19.905084	15.007930860170795	13.948031499999999	0.28354268647579456	0.271359
2950.0	19.84313725490196	19.8280195	19.562211935404356	19.9005865	16.674036459679	14.671182499999997	0.28921354020531054	0.27474950000000004
3000.0	19.84615384615385	19.8329705	19.572430789345024	19.911568	18.435146210339802	15.014595999999997	0.29488439393482657	0.2924135
3050.0	19.849056603773587	19.83209	19.582183467593364	19.909294499999998	20.242751413363237	17.9362785	0.30055524766434244	0.2921055
3100.0	19.851851851851855	19.8403325	19.591501158570914	19.9179815	22.042669829534077	20.178217999999998	0.3062261013938583	0.29275
3150.0	19.85454545454545	19.8423115	19.600412329271798	19.921916500000002	23.782603961134672	22.059538	0.31189695512337406	0.297416
3200.0	19.857142857142858	19.8450885	19.608943015756612	19.930919499999998	25.418976546620573	24.042645	0.31756780885289004	0.31182799999999994
3250.0	19.85964912280702	19.8429835	19.61711707721449	19.923223	26.92121875956367	26.219136	0.3232386625824059	0.321999
3300.0	19.86206896551724	19.847414999999998	19.624956418814506	19.9190035	28.2728599511852	26.262400500000002	0.3289095163119218	0.31744150000000004
3350.0	19.864406779661017	19.8525875	19.632481187729915	19.909258	29.46995815070275	29.970805000000002	0.3345803700414377	0.32038700000000003
